Company Name,SCM Practices,Supplier Count,Inventory Turnover Ratio,Lead Time (days),Order Fulfillment Rate (%),Customer Satisfaction (%),Technology Utilized,Environmental Impact Score,Supply Chain Agility,Supplier Lead Time Variability (days),Inventory Accuracy (%),Transportation Cost Efficiency (%),Supply Chain Integration Level,Sustainability Practices,Supply Chain Complexity Index,Cost of Goods Sold (COGS),Operational Efficiency Score,Revenue Growth Rate out of (15),Supply Chain Risk (%),Supplier Collaboration Level,Supply Chain Resilience Score,Supplier Relationship Score,Total Implementation Cost,Carbon Emissions (kg CO2e),Recycling Rate (%),Energy Consumption (MWh),Use of Renewable Energy (%),Green Packaging Usage (%),Ticker,Market Cap,Exchange,US Exchange
Indian Motorcycle,Lean Manufacturing,300.0,10.0,12.0,91.0,87.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,81121403,379000,66,229500,53,47,,351225472.0,,False
Polaris,Lean Manufacturing,100000.0,4.0,10.0,90.0,88.0,"ERP, AI, Blockchain",,High,3.0,98.0,88.0,High,Advanced,Low,$700B,85.0,11.0,8.0,High,88.0,85.0,21498556,380000,67,230000,54,48,PII,2313162752.0,NYQ,True
BRP Inc.,Agile SCM,200.0,6.0,22.0,89.0,85.0,"ERP, AI, Blockchain",,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$900B,85.0,9.0,15.0,Medium,85.0,80.0,75356617,381000,68,230500,55,49,DOOO,2483050496.0,NMS,True
Zero Motorcycles,Lean Manufacturing,10000.0,5.2,18.0,90.0,85.0,"ERP, AI, Robotics",,High,5.0,97.0,85.0,High,Advanced,Medium,$900B,85.0,11.0,10.0,Medium,85.0,85.0,104436259,382000,69,231000,56,50,,351225472.0,,False
Energica,Agile SCM,1000000.0,6.0,18.0,88.0,92.0,"ERP, JIT, Robotics",,High,5.0,95.0,85.0,High,Advanced,Medium,$700B,80.0,10.0,12.0,Medium,85.0,80.0,45932659,383000,70,231500,57,51,,351225472.0,,False
Lightning Motorcycles,Lean Manufacturing,200.0,50.0,18.0,87.0,88.0,"ERP, AI, Robotics",,Medium,6.0,95.0,85.0,Medium,Advanced,Medium,$500B,80.0,9.0,15.0,Medium,85.0,80.0,97117136,384000,60,232000,58,52,,351225472.0,,False
Damon Motorcycles,Cross-Docking,300.0,6.2,10.0,93.0,89.0,"ERP, AI, Blockchain",,High,2.0,98.0,88.0,High,Advanced,Medium,$800B,85.0,10.0,8.0,High,90.0,85.0,44054179,385000,61,232500,59,53,,351225472.0,,False
Zapp Scooters,Agile SCM,150.0,4.2,14.0,90.0,90.0,"ERP, AI, Blockchain",,Medium,4.0,97.0,85.0,Medium,Advanced,Medium,$800B,85.0,9.0,12.0,Medium,85.0,85.0,61864220,386000,62,233000,60,54,,351225472.0,,False
Gogoro,Lean Manufacturing,100.0,10.0,8.0,94.0,90.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,Medium,$700B,82.0,12.0,7.0,High,90.0,85.0,4848288,387000,63,233500,61,55,GGR,89286968.0,NMS,True
Ather Energy,Agile SCM,100.0,5.2,15.0,91.0,88.0,"ERP, AI, Robotics",,High,5.0,97.0,85.0,Medium,Advanced,Medium,$800B,81.0,10.0,12.0,Medium,85.0,85.0,31725527,388000,64,234000,62,56,,351225472.0,,False
Ola Electric,Sustainable SCM,300.0,3.5,4.0,95.0,91.0,"AI, ERP, Blockchain",,High,1.0,98.0,88.0,High,Advanced,High,$300B,85.0,12.0,5.0,High,90.0,85.0,28267185,389000,65,234500,63,57,OLAELEC.BO,221525311488.0,BSE,False
Bounce,Agile SCM,400.0,8.2,15.0,95.0,88.0,"ERP, AI, Blockchain",,High,10.0,95.0,80.0,High,Advanced,Medium,$1000B,85.0,8.0,12.0,Medium,88.0,85.0,48715258,390000,66,235000,64,58,AUCTION-USD,107172960.0,CCC,False
Lime,Lean Manufacturing,400.0,5.2,12.0,89.0,91.0,"ERP, AI, Robotics",,High,4.0,97.0,85.0,High,Advanced,Medium,$400B,85.0,10.0,10.0,Medium,85.0,80.0,105797504,391000,67,235500,65,59,USLM,2550399488.0,NMS,True
Bird,Agile SCM,300.0,7.0,8.0,94.0,89.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,Medium,$600B,85.0,12.0,7.0,High,90.0,85.0,98129092,392000,68,236000,50,60,BIRD,48815004.0,NMS,True
Spin,Demand-Driven SCM,150.0,5.5,11.0,90.0,90.0,"ERP, AI, Blockchain",,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,85.0,9.0,10.0,High,87.0,80.0,75415326,393000,69,236500,51,40,SPIN,,BTS,False
Tier Mobility,Agile SCM,500.0,6.0,9.0,93.0,90.0,"ERP, AI, Blockchain",,High,2.0,97.0,88.0,High,Advanced,Medium,$700B,80.0,10.0,7.0,High,90.0,85.0,87927857,394000,70,237000,52,41,,351225472.0,,False
Voi Technology,Lean Manufacturing,300.0,6.0,5.0,93.0,91.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,High,$500B,80.0,11.0,5.0,High,90.0,85.0,18877238,395000,60,237500,53,42,2495.HK,9499170816.0,HKG,False
Bolt Mobility,Agile SCM,200.0,10.0,10.0,92.0,87.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,High,$800B,85.0,10.0,8.0,High,90.0,85.0,102400392,396000,61,238000,54,43,,351225472.0,,False
Segway-Ninebot,Lean Manufacturing,20000.0,8.3,10.0,92.0,93.0,"ERP, AI, Blockchain",,High,4.0,98.0,85.0,High,Advanced,Medium,$500B,85.0,12.0,8.0,High,89.0,85.0,49160572,397000,62,238500,55,44,,351225472.0,,False
Unagi Scooters,Agile SCM,500.0,6.0,8.0,94.0,85.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,Medium,$700B,82.0,12.0,7.0,High,90.0,85.0,60361506,398000,63,239000,56,45,,351225472.0,,False
Boosted,Lean Manufacturing,100.0,5.0,20.0,89.0,92.0,"ERP, AI, Blockchain",,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$900B,81.0,9.0,12.0,Medium,85.0,80.0,68532151,399000,64,239500,57,46,,351225472.0,,False
Acton,Vendor Managed Inventory,200.0,7.5,7.0,98.0,89.0,"ERP, AI, Blockchain",,High,1.0,98.0,90.0,High,Advanced,High,$1200B,85.0,12.0,3.0,High,95.0,90.0,73506851,400000,65,240000,58,47,,351225472.0,,False
Swagtron,Efficient Consumer Response,20000.0,6.0,18.0,87.0,89.0,"ERP, AI, Robotics",,Medium,6.0,95.0,85.0,Medium,Advanced,Medium,$500B,85.0,9.0,15.0,Medium,85.0,80.0,14650272,401000,66,240500,59,48,,351225472.0,,False
Razor,Sustainable SCM,400.0,6.0,9.0,93.0,85.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,High,$900B,85.0,11.0,8.0,High,91.0,85.0,46787764,402000,67,241000,60,49,RAZOR-USD,261092.0,CCC,False
Yadea,Lean Manufacturing,1500.0,4.0,15.0,91.0,85.0,"ERP, AI, Blockchain",,Medium,5.0,95.0,85.0,Medium,Advanced,Medium,$300B,85.0,10.0,10.0,Medium,85.0,80.0,107991438,403000,68,241500,61,50,YADGF,6132470272.0,PNK,False
Niu Technologies,Agile SCM,200.0,4.2,12.0,91.0,88.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,43167706,404000,69,242000,62,51,NIU,350745216.0,NGM,False
ElectraMeccanica,Lean Manufacturing,500.0,4.5,10.0,90.0,89.0,"ERP, AI, Blockchain",,High,5.0,96.0,85.0,High,Advanced,Medium,$350B,80.0,11.0,8.0,High,87.0,85.0,73619290,405000,70,242500,63,52,,351225472.0,,False
Arcimoto,Agile SCM,300.0,5.0,12.0,88.0,88.0,"AI, ERP, Blockchain",,Medium,4.0,97.0,80.0,Medium,Advanced,Medium,$400B,80.0,8.0,15.0,Medium,80.0,78.0,66360177,406000,60,243000,64,53,FUVV,1116.0,OEM,False
Aptera,Demand-Driven SCM,500.0,4.5,12.0,89.0,90.0,"ERP, AI, Robotics",,High,4.0,97.0,85.0,High,Advanced,Medium,$400B,85.0,10.0,10.0,Medium,85.0,80.0,102077763,407000,61,243500,65,54,,351225472.0,,False
Sono Motors,Lean Manufacturing,250.0,4.0,12.0,90.0,91.0,"ERP, AI, Blockchain",,High,4.0,97.0,85.0,High,Advanced,Medium,$700B,85.0,9.0,8.0,High,88.0,85.0,107603002,408000,62,244000,50,55,,351225472.0,,False
Lightyear,Agile SCM,300.0,5.0,14.0,90.0,87.0,"ERP, AI, Blockchain",,Medium,4.0,97.0,85.0,Medium,Advanced,Medium,$800B,82.0,9.0,12.0,Medium,85.0,85.0,12842660,409000,63,244500,51,56,YEAR-USD,0.0,CCC,False
Fisker,Vendor Managed Inventory,250.0,5.8,10.0,92.0,89.0,"ERP, AI, Blockchain",,High,2.0,97.0,85.0,High,Advanced,Medium,$800B,81.0,11.0,8.0,High,88.0,85.0,104703776,410000,64,245000,52,57,,351225472.0,,False
Karma Automotive,Vendor Managed Inventory,10000.0,5.5,10.0,94.0,90.0,"ERP, AI, Blockchain",,High,2.0,98.0,88.0,High,Advanced,High,$500B,85.0,12.0,7.0,High,90.0,85.0,13021574,411000,65,245500,53,58,,351225472.0,,False
Lotus Cars,Agile SCM,100.0,4.0,14.0,88.0,88.0,"ERP, AI, Robotics",,High,5.0,97.0,85.0,Medium,Advanced,Medium,$500B,85.0,10.0,10.0,Medium,85.0,80.0,91499350,412000,66,246000,54,59,,351225472.0,,False
TVR,Agile SCM,75000.0,7.7,8.0,94.0,89.0,"ERP, AI, Blockchain",,High,2.0,98.0,85.0,High,Advanced,Medium,$800B,85.0,10.0,5.0,High,90.0,85.0,106683174,413000,67,246500,55,60,TVRB.PA,75600000.0,PAR,False
Pininfarina,Sustainable SCM,70000.0,9.0,11.0,91.0,92.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$600B,85.0,11.0,10.0,High,88.0,85.0,91693394,414000,68,247000,56,40,PNF.DU,,DUS,False
Italdesign,Vendor Managed Inventory,100.0,2.0,10.0,90.0,88.0,"ERP, AI, Blockchain",,High,3.0,98.0,88.0,High,Advanced,Low,$700B,85.0,11.0,8.0,High,88.0,85.0,96319576,415000,69,247500,57,41,,351225472.0,,False
Magna International,Just-In-Time,200.0,1.0,11.0,90.0,89.0,"ERP, AI, Blockchain",,High,4.0,97.0,88.0,High,Advanced,Medium,$600B,80.0,10.0,8.0,High,88.0,85.0,42489278,416000,70,248000,58,42,MGA,9587149824.0,NYQ,True
Continental AG,Vendor Managed Inventory,500.0,7.0,10.0,93.0,92.0,"ERP, AI, Blockchain",,High,2.0,98.0,88.0,High,Advanced,Medium,$800B,80.0,10.0,8.0,High,90.0,85.0,49114108,417000,60,248500,59,43,CON.DE,13352400896.0,GER,False
Bosch,Lean Manufacturing,300.0,8.0,11.0,90.0,89.0,"ERP, AI, Blockchain",,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,85.0,9.0,10.0,High,87.0,80.0,42058335,418000,61,249000,60,44,BOSCHLTD.NS,831721046016.0,NSI,False
Denso,Lean Manufacturing,300.0,5.0,12.0,91.0,85.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,55553465,419000,62,249500,61,45,DNO.SG,,STU,False
ZF Friedrichshafen,Lean Manufacturing,500.0,5.8,2.0,98.0,88.0,"AI, Robotics, Blockchain",,High,1.0,99.0,88.0,High,Advanced,High,"$1,500B",82.0,20.0,5.0,High,90.0,85.0,87580057,420000,63,250000,62,46,,351225472.0,,False
Valeo,Vendor Managed Inventory,400.0,4.0,12.0,91.0,85.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$700B,81.0,11.0,10.0,High,88.0,85.0,106322093,421000,64,250500,63,47,FR.PA,2236504832.0,PAR,False
Aisin Seiki,Agile SCM,150.0,4.0,18.0,87.0,90.0,"ERP, AI, Robotics",,Medium,6.0,95.0,85.0,Medium,Advanced,Medium,$500B,85.0,9.0,15.0,Medium,85.0,80.0,49905867,422000,65,251000,64,48,AKN.SG,,STU,False
Aptiv,Vendor Managed Inventory,100.0,6.0,12.0,89.0,90.0,"ERP, AI, Robotics",,High,4.0,97.0,85.0,High,Advanced,Medium,$400B,85.0,10.0,10.0,Medium,85.0,80.0,100532609,423000,66,251500,65,49,APTV,13902133248.0,NYQ,True
Lear Corporation,Agile SCM,200.0,4.5,18.0,88.0,88.0,"ERP, JIT, Robotics",,High,5.0,95.0,85.0,High,Advanced,Medium,$700B,85.0,10.0,12.0,Medium,85.0,80.0,24210513,424000,67,252000,50,50,LEA,4717945856.0,NYQ,True
BorgWarner,Agile SCM,150.0,6.5,11.0,91.0,90.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$600B,85.0,11.0,10.0,High,88.0,85.0,10198500,425000,68,252500,51,51,BWA,6192948224.0,NYQ,True
Faurecia,Lean Manufacturing,20000.0,6.0,10.0,92.0,90.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,High,$900B,85.0,11.0,8.0,High,91.0,85.0,23448675,426000,69,253000,52,52,FAU.DU,,DUS,False
Adient,Lean Manufacturing,100.0,4.2,10.0,90.0,85.0,"ERP, AI, Blockchain",,High,3.0,98.0,88.0,High,Advanced,Low,$700B,80.0,11.0,8.0,High,88.0,85.0,102294404,427000,70,253500,53,53,ADNT,1075177984.0,NYQ,True
Autoliv,Agile SCM,1300000.0,4.5,10.0,92.0,88.0,"ERP, AI, Blockchain",,High,2.0,97.0,85.0,High,Advanced,Medium,$800B,80.0,11.0,8.0,High,88.0,85.0,23930985,428000,60,254000,54,54,ALV,6908419072.0,NYQ,True
Hyundai Mobis,Lean Manufacturing,200.0,10.0,10.0,92.0,94.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,High,$800B,85.0,10.0,8.0,High,90.0,85.0,22725757,429000,61,254500,55,55,012330.KS,23753782198272.0,KSC,False
Schaeffler Group,Vendor Managed Inventory,300.0,6.2,20.0,88.0,91.0,"ERP, AI, Robotics",,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$800B,85.0,10.0,12.0,Medium,85.0,80.0,2597481,430000,62,255000,56,56,,351225472.0,,False
Hella,Lean Manufacturing,100.0,4.2,18.0,90.0,89.0,"ERP, AI, Robotics",,High,5.0,97.0,85.0,High,Advanced,Medium,$900B,82.0,11.0,10.0,Medium,85.0,85.0,57597409,431000,63,255500,57,57,HLLGY,10542503936.0,PNK,False
Magna Steyr,Demand-Driven SCM,400.0,5.0,7.0,98.0,87.0,"AI, ERP, Blockchain",,High,1.0,98.0,92.0,High,Advanced,High,$1500B,81.0,12.0,3.0,High,95.0,90.0,26939240,432000,64,256000,58,58,,351225472.0,,False
KUKA,Lean Manufacturing,150.0,6.0,10.0,93.0,91.0,"ERP, AI, Blockchain",,High,2.0,98.0,88.0,High,Advanced,Medium,$800B,85.0,10.0,8.0,High,90.0,85.0,56688831,433000,65,256500,59,59,,351225472.0,,False
Visteon,Sustainable SCM,150.0,5.0,12.0,91.0,89.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,68227908,434000,66,257000,60,60,VC,2121757184.0,NMS,True
Yanfeng Automotive Interiors,Lean Manufacturing,100.0,5.2,22.0,89.0,88.0,"ERP, AI, Blockchain",,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$900B,85.0,9.0,15.0,Medium,85.0,80.0,55831369,435000,67,257500,61,40,,351225472.0,,False
JTEKT,Vendor Managed Inventory,300.0,4.2,10.0,94.0,85.0,"ERP, AI, Blockchain",,High,2.0,98.0,88.0,High,Advanced,High,$500B,85.0,12.0,7.0,High,90.0,85.0,95499876,436000,68,258000,62,41,JTEKTINDIA.NS,31429007360.0,NSI,False
NSK Ltd.,Lean Manufacturing,150.0,4.2,15.0,91.0,89.0,"ERP, AI, Blockchain",,Medium,5.0,95.0,85.0,Medium,Advanced,Medium,$300B,85.0,10.0,10.0,Medium,85.0,80.0,92942923,437000,69,258500,63,42,NSK.MU,,MUN,False
Knorr-Bremse,Vendor Managed Inventory,500.0,5.8,11.0,90.0,88.0,"ERP, AI, Blockchain",,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,80.0,9.0,10.0,High,87.0,80.0,61819577,438000,70,259000,64,43,KBX.DE,14048582656.0,GER,False
Brembo,Agile SCM,400.0,4.0,20.0,88.0,90.0,"ERP, AI, Robotics",,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$800B,80.0,10.0,12.0,Medium,85.0,80.0,52157314,439000,60,259500,65,44,BRE.MI,2646622464.0,MIL,False
Bridgestone,Lean Manufacturing,300.0,10.0,12.0,91.0,93.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,70612022,440000,61,260000,50,45,5108N.MX,,MEX,False
Michelin,Agile SCM,300.0,4.0,12.0,89.0,85.0,"ERP, AI, Robotics",,High,4.0,97.0,85.0,High,Advanced,Medium,$400B,85.0,10.0,10.0,Medium,85.0,80.0,46918819,441000,62,260500,51,46,ML.PA,23538966528.0,PAR,False
Goodyear,Sustainable SCM,100.0,6.0,11.0,91.0,90.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$600B,82.0,11.0,10.0,High,88.0,85.0,65557448,442000,63,261000,52,47,GT,2506151936.0,NMS,True
Continental Tire,Lean Manufacturing,300.0,5.2,7.0,98.0,88.0,"ERP, AI, Blockchain",,High,1.0,98.0,90.0,High,Advanced,High,$1200B,81.0,12.0,3.0,High,95.0,90.0,29367078,443000,64,261500,53,48,,351225472.0,,False
Pirelli,Agile SCM,300.0,6.0,18.0,88.0,85.0,"ERP, JIT, Robotics",,High,5.0,95.0,85.0,High,Advanced,Medium,$700B,85.0,10.0,12.0,Medium,85.0,80.0,24244265,444000,65,262000,54,49,0P1R.IL,5815008768.0,IOB,False
Yokohama Rubber,Lean Manufacturing,10000.0,50.0,12.0,91.0,94.0,"ERP, AI, Blockchain",,High,3.0,97.0,85.0,High,Advanced,Medium,$800B,85.0,11.0,10.0,High,88.0,85.0,100168601,445000,66,262500,55,50,YRB.F,3476779264.0,FRA,False
Hankook Tire,Vendor Managed Inventory,20000.0,6.2,11.0,90.0,91.0,"ERP, AI, Blockchain",,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,85.0,9.0,10.0,High,87.0,80.0,35427854,446000,67,263000,56,51,161390.KS,4769769848832.0,KSC,False
Cooper Tire & Rubber,Agile SCM,500.0,4.2,14.0,90.0,89.0,"ERP, JIT, Robotics",,High,5.0,98.0,85.0,High,Advanced,Medium,$700B,85.0,10.0,10.0,Medium,85.0,80.0,32576170,447000,68,263500,57,52,,351225472.0,,False
Sumitomo Rubber,Sustainable SCM,200.0,10.0,7.0,99.0,93.0,"AI, ERP, Blockchain",,High,2.0,98.0,92.0,High,Advanced,Low,$1200B,85.0,15.0,3.0,High,95.0,90.0,21288949,448000,69,264000,58,53,108.SG,,STU,False
Toyo Tires,Vendor Managed Inventory,100.0,5.2,10.0,93.0,88.0,"ERP, AI, Blockchain",,High,2.0,98.0,88.0,High,Advanced,Medium,$800B,80.0,10.0,8.0,High,90.0,85.0,803329,449000,70,264500,59,54,,351225472.0,,False
Apollo Tyres,Just-In-Time,150.0,3.5,12.0,91.0,93.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$700B,80.0,11.0,10.0,High,88.0,85.0,42801199,450000,60,265000,60,55,APOLLOTYRE.NS,269568622592.0,NSI,False
Kumho Tire,Lean Manufacturing,250.0,8.2,7.0,98.0,92.0,"ERP, AI, Blockchain",,High,1.0,98.0,90.0,High,Advanced,High,$1200B,85.0,12.0,3.0,High,95.0,90.0,87753581,451000,61,265500,61,56,073240.KS,1354430939136.0,KSC,False
Nexen Tire,Agile SCM,400.0,5.2,11.0,90.0,89.0,"ERP, AI, Blockchain",,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,85.0,9.0,10.0,High,87.0,80.0,3695962,452000,62,266000,62,57,002355.KS,517534875648.0,KSC,False
Nokian Tyres,Demand-Driven SCM,200.0,7.0,9.0,92.0,91.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$800B,82.0,12.0,8.0,High,88.0,85.0,18892009,453000,63,266500,63,58,TYRES.HE,900566848.0,HEL,False
Giti Tire,Agile SCM,20000.0,5.5,2.0,98.0,90.0,"AI, Robotics, Blockchain",,High,1.0,99.0,88.0,High,Advanced,High,"$1,500B",81.0,20.0,5.0,High,90.0,85.0,4294540,454000,64,267000,64,59,600182.SS,5317600256.0,SHH,False
Linglong Tire,Agile SCM,500.0,6.0,15.0,91.0,90.0,"ERP, AI, Robotics",,High,5.0,97.0,85.0,Medium,Advanced,Medium,$800B,85.0,10.0,12.0,Medium,85.0,85.0,29365615,455000,65,267500,65,60,,351225472.0,,False
Sailun Tire,Agile SCM,200.0,6.0,8.0,94.0,92.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,Medium,$600B,85.0,12.0,7.0,High,90.0,85.0,54481925,456000,66,268000,50,40,,351225472.0,,False
Triangle Tire,Cross-Docking,300.0,10.0,10.0,92.0,94.0,"ERP, AI, Blockchain",,High,4.0,98.0,85.0,High,Advanced,Medium,$500B,85.0,12.0,8.0,High,89.0,85.0,46626915,457000,67,268500,51,41,,351225472.0,,False
Cheng Shin Rubber,Agile SCM,100.0,8.3,10.0,92.0,90.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,High,$900B,85.0,11.0,8.0,High,91.0,85.0,79945267,458000,68,269000,52,42,2105.TW,,TAI,False
ZC Rubber,Lean Manufacturing,250.0,6.0,9.0,93.0,90.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,High,$900B,85.0,11.0,8.0,High,91.0,85.0,71819940,459000,69,269500,53,43,,,,False
Guizhou Tyre,Just-In-Time,20000.0,5.0,7.0,98.0,89.0,"AI, ERP, Blockchain",,High,1.0,98.0,92.0,High,Advanced,High,$1500B,80.0,12.0,3.0,High,95.0,90.0,69778860,460000,70,270000,54,44,000589.SZ,7620774400.0,SHZ,False
JK Tyre & Industries,Agile SCM,150.0,7.5,2.0,98.0,91.0,"AI, ERP, Blockchain",,High,1.0,98.0,90.0,High,Advanced,High,$500B,80.0,12.0,5.0,High,90.0,85.0,39501027,461000,60,270500,55,45,JKTYRE.NS,75820941312.0,NSI,False
MRF Tyres,Demand-Driven SCM,1300000.0,6.0,10.0,92.0,90.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,High,$800B,85.0,10.0,8.0,High,90.0,85.0,90372541,462000,61,271000,56,46,,351225472.0,,False
CEAT,Vendor Managed Inventory,200.0,6.0,15.0,91.0,91.0,"ERP, AI, Blockchain",,Medium,5.0,95.0,85.0,Medium,Advanced,Medium,$300B,85.0,10.0,10.0,Medium,85.0,80.0,65812634,463000,62,271500,57,47,CEATLTD.NS,115189751808.0,NSI,False
Balkrishna Industries,Vendor Managed Inventory,200.0,4.0,3.0,97.0,90.0,"AI, Robotics, Blockchain",,High,1.0,98.0,90.0,High,Advanced,High,"$1,200B",82.0,18.0,5.0,High,90.0,88.0,103568238,464000,63,272000,58,48,BALKRISIND.NS,492765020160.0,NSI,False
ATG (Alliance Tire Group),Vendor Managed Inventory,500.0,4.2,12.0,91.0,89.0,"ERP, AI, Blockchain",,High,3.0,97.0,85.0,High,Advanced,Medium,$800B,81.0,11.0,10.0,High,88.0,85.0,102325206,465000,64,272500,59,49,,351225472.0,,False
Titan International,Lean Manufacturing,150.0,4.5,10.0,94.0,88.0,"ERP, AI, Blockchain",,High,2.0,98.0,88.0,High,Advanced,High,$500B,85.0,12.0,7.0,High,90.0,85.0,31288563,466000,65,273000,60,50,TWI,542236288.0,NYQ,True
Trelleborg,Lean Manufacturing,250.0,5.0,11.0,91.0,87.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$600B,85.0,11.0,10.0,High,88.0,85.0,56882319,467000,66,273500,61,51,TBABY,6880078848.0,PNK,False
Camso,Lean Manufacturing,300.0,4.5,12.0,91.0,88.0,"ERP, AI, Blockchain",,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,11506306,468000,67,274000,62,52,,351225472.0,,False
Carlstar Group,Lean Manufacturing,100000.0,4.0,10.0,90.0,85.0,"ERP, AI, Blockchain",,High,3.0,98.0,88.0,High,Advanced,Low,$700B,85.0,11.0,8.0,High,88.0,85.0,33999534,469000,68,274500,63,53,,351225472.0,,False
Kenda Tires,Agile SCM,200.0,5.0,22.0,89.0,85.0,"ERP, AI, Blockchain",,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$900B,85.0,9.0,15.0,Medium,85.0,80.0,95534049,470000,69,275000,64,54,,351225472.0,,False
Maxxis,Lean Manufacturing,10000.0,5.8,18.0,90.0,92.0,"ERP, AI, Robotics",,High,5.0,97.0,85.0,High,Advanced,Medium,$900B,80.0,11.0,10.0,Medium,85.0,85.0,197776,471000,70,275500,65,55,,351225472.0,,False
Federal Corporation,Lean Manufacturing,1000000.0,5.5,18.0,88.0,88.0,"ERP, JIT, Robotics",,High,5.0,95.0,85.0,High,Advanced,Medium,$700B,80.0,10.0,12.0,Medium,85.0,80.0,102081472,472000,60,276000,50,56,SFDL,94650936.0,PNK,False
Nankang Rubber Tire,Agile SCM,200.0,4.0,18.0,87.0,89.0,"ERP, AI, Robotics",,Medium,6.0,95.0,85.0,Medium,Advanced,Medium,$500B,85.0,9.0,15.0,Medium,85.0,80.0,23614650,473000,61,276500,51,57,2101.TW,33816061952.0,TAI,False
Delinte,Sustainable SCM,300.0,7.7,10.0,93.0,90.0,"ERP, AI, Blockchain",,High,2.0,98.0,88.0,High,Advanced,Medium,$800B,85.0,10.0,8.0,High,90.0,85.0,10986869,474000,62,277000,52,58,,351225472.0,,False
Toyama,Agile SCM,150.0,9.0,14.0,90.0,90.0,"ERP, AI, Blockchain",,Medium,4.0,97.0,85.0,Medium,Advanced,Medium,$800B,82.0,9.0,12.0,Medium,85.0,85.0,60084390,475000,63,277500,53,59,7184.T,68849139712.0,JPX,False
Lexani,Lean Manufacturing,100.0,2.0,8.0,94.0,88.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,Medium,$700B,81.0,12.0,7.0,High,90.0,85.0,25827439,476000,64,278000,54,60,,351225472.0,,False
Riken,Agile SCM,100.0,1.0,15.0,91.0,91.0,"ERP, AI, Robotics",,High,5.0,97.0,85.0,Medium,Advanced,Medium,$800B,85.0,10.0,12.0,Medium,85.0,85.0,31378292,477000,65,278500,55,40,6209.T,66717962240.0,JPX,False
Roadstone,Demand-Driven SCM,300.0,7.0,4.0,95.0,88.0,"AI, ERP, Blockchain",,High,1.0,98.0,88.0,High,Advanced,High,$300B,85.0,12.0,5.0,High,90.0,85.0,86881846,478000,66,279000,56,41,,351225472.0,,False
Arisun,Agile SCM,400.0,8.0,15.0,95.0,91.0,"ERP, AI, Blockchain",,High,10.0,95.0,80.0,High,Advanced,Medium,$1000B,85.0,8.0,12.0,Medium,88.0,85.0,40163713,479000,67,279500,57,42,,351225472.0,,False
